,RA,dec,Earth Distance,Solar Distance,Elongation
0,274.8220416666667,-23.36427777777778,1.43403,0.46627,-5.8
1,276.5595,-23.341,1.43606,0.46563,-5.2
2,278.3027916666667,-23.340666666666667,1.43754,0.46472,-4.7
3,280.05150000000003,-23.36352777777778,1.43846,0.46353,-4.2
4,281.80525,-23.40988888888889,1.43884,0.46206,-3.7
5,283.5635833333333,-23.48,1.43865,0.46032,-3.2
6,285.326,-23.574194444444444,1.4379,0.45831,-2.8
7,287.092125,-23.69263888888889,1.43658,0.45603,-2.4
8,288.8614166666667,-23.83561111111111,1.43469,0.45349,-2.1
9,290.633375,-22.003333333333334,1.4322,0.45068,-1.9
10,292.40754166666665,-22.196,1.42912,0.44761,2.0
11,294.18329166666666,-22.413833333333333,1.42542,0.44429,2.2
12,295.960125,-22.656972222222223,1.42111,0.44072,2.5
13,297.73741666666666,-22.92561111111111,1.41615,0.43691,2.9
14,299.5145416666667,-21.21986111111111,1.41053,0.43287,3.4
15,301.29087499999997,-21.539833333333334,1.40424,0.42859,4.0
16,303.065625,-21.885638888888888,1.39726,0.4241,4.6
17,304.8380833333334,-20.25725,1.38956,0.41941,5.2
18,306.6073333333333,-20.654694444444445,1.38112,0.41452,5.8
19,308.3724583333333,-19.077916666666667,1.37191,0.40944,6.4
20,310.13233333333335,-19.526777777777777,1.36191,0.4042,7.1
21,311.88579166666665,-18.001083333333334,1.35109,0.39881,7.8
22,313.63145833333334,-18.500527777777776,1.33942,0.39329,8.4
23,315.36783333333335,-17.02475,1.32687,0.38766,9.1
24,317.09316666666666,-17.573194444444443,1.31342,0.38194,9.8
25,318.80541666666664,-16.14527777777778,1.29903,0.37617,10.5
26,320.502375,-16.74013888888889,1.28368,0.37036,11.1
27,322.1814166666667,-15.35675,1.26734,0.36456,11.8
28,323.8394583333333,-15.99386111111111,1.24998,0.35879,12.5
29,325.4732083333334,-14.649972222222223,1.23158,0.35311,13.2
30,327.07862500000005,-13.323277777777777,1.21214,0.34754,13.8
31,328.65120833333333,-12.011527777777777,1.19165,0.34213,14.5
32,330.18587499999995,-12.71225,1.1701,0.33693,15.1
33,331.6767916666667,-11.422361111111112,1.14752,0.332,15.7
34,333.11741666666666,-10.138388888888889,1.12394,0.32738,16.2
35,334.50054166666666,-10.856361111111111,1.0994,0.32313,16.7
36,335.8180833333333,-9.571722222222222,1.07396,0.31929,17.2
37,337.061375,-8.279388888888889,1.04773,0.31592,17.5
38,338.221,-8.97375,1.02081,0.31306,17.8
39,339.2871666666667,-7.648722222222222,0.99333,0.31076,18.1
40,340.2495833333333,-6.297666666666666,0.96546,0.30905,18.2
41,341.0980416666667,-6.91375,0.93737,0.30796,18.2
42,341.8224166666667,-5.489805555555556,0.90928,0.3075,18.1
43,342.41325,-4.018611111111111,0.8814,0.30769,17.8
44,342.862,-4.493027777777778,0.85396,0.30851,17.4
45,343.16166666666663,-4.906305555555556,0.82721,0.30997,16.9
46,343.3070833333333,-3.252111111111111,0.80139,0.31202,16.2
47,343.29562500000003,-3.525027777777778,0.77674,0.31464,15.3
48,343.1275,-3.720638888888889,0.75348,0.3178,14.3
49,342.80633333333327,-3.8359444444444444,0.73183,0.32145,13.1
50,342.33933333333334,-3.8695,0.71197,0.32553,11.8
51,341.73749999999995,-3.8216944444444443,0.69407,0.33,10.3
52,341.01574999999997,-3.695,0.67826,0.33481,8.7
53,340.1922916666667,-3.4938611111111113,0.66463,0.3399,7.1
54,339.28837500000003,-3.2247222222222223,0.65325,0.34522,5.6
55,338.3274583333333,-4.895777777777778,0.64415,0.35073,4.3
56,337.3341666666667,-4.516694444444444,0.63729,0.35637,-3.7
57,336.33329166666664,-4.098111111111111,0.63265,0.36211,-4.2
58,335.34883333333335,-5.651027777777778,0.63015,0.3679,-5.4
59,334.402875,-5.1865,0.62967,0.37371,-7.0
60,333.5150416666667,-6.715,0.63109,0.3795,-8.8
61,332.7017916666667,-6.246138888888889,0.63429,0.38525,-10.5
62,331.97650000000004,-7.788305555555556,0.6391,0.39092,-12.2
63,331.3489583333333,-7.348694444444444,0.64538,0.39649,-13.9
